N,P,K,temperature,humidity,ph,rainfall,label
35.49,69.24,16.44,20.81,61.27,6.44,36.9,lentil
23.17,75.81,15.94,18.24,64.28,6.06,45.88,lentil
23.74,79.79,15.17,28.55,61.61,7.21,49.81,lentil
29.91,59.09,23.74,29.59,67.0,7.07,50.14,lentil
21.86,72.29,17.36,22.1,67.59,6.15,47.13,lentil
15.67,71.86,17.12,22.06,61.06,6.67,38.34,lentil
33.38,79.5,22.36,18.09,65.06,6.63,50.95,lentil
30.64,79.64,18.2,26.16,68.15,6.84,49.4,lentil
29.52,72.17,20.06,27.91,69.36,7.32,36.72,lentil
33.54,61.09,16.63,19.76,65.14,6.77,44.28,lentil
31.88,74.96,24.6,19.92,69.5,6.71,38.48,lentil
20.15,57.68,23.52,27.48,65.36,5.98,41.75,lentil
23.81,74.52,23.64,25.4,63.94,5.99,35.36,lentil
18.15,77.75,19.07,18.54,68.48,6.18,43.01,lentil
18.25,64.57,22.62,25.47,64.93,5.95,46.0,lentil
31.9,70.77,16.44,21.71,64.72,7.02,47.39,lentil
36.47,65.75,15.09,22.42,64.9,6.98,48.27,lentil
39.07,65.94,15.2,27.24,68.47,6.1,51.73,lentil
30.71,62.76,20.87,27.73,68.32,7.15,39.31,lentil
19.6,74.05,19.55,22.8,64.04,6.13,37.41,lentil
17.64,78.4,20.18,29.37,63.33,6.35,52.03,lentil
35.32,78.52,15.07,22.88,64.92,6.27,38.13,lentil
29.47,59.37,19.23,27.26,65.73,6.46,54.5,lentil
30.46,76.87,22.18,23.81,62.38,6.28,51.85,lentil
34.54,73.44,19.43,28.77,67.94,6.63,45.02,lentil
32.58,61.32,22.32,28.89,64.86,6.51,54.63,lentil
35.86,56.68,17.33,19.05,63.34,7.38,36.95,lentil
16.41,61.7,23.13,29.24,61.07,5.98,41.06,lentil
33.69,77.81,20.88,27.91,62.39,6.11,47.76,lentil
36.27,70.83,17.11,27.5,69.49,5.98,42.0,lentil
22.15,73.03,17.37,20.41,63.05,6.84,53.57,lentil
31.01,61.43,21.28,27.66,61.69,5.98,36.31,lentil
22.85,72.98,23.3,28.2,64.61,7.15,45.99,lentil
38.95,55.7,19.16,21.47,63.07,6.67,46.82,lentil
15.84,64.38,17.58,29.43,60.35,6.69,48.05,lentil
29.49,70.67,23.67,18.6,63.23,6.74,40.11,lentil
19.16,58.65,21.69,19.8,65.44,6.16,42.29,lentil
32.81,75.58,19.48,24.45,65.52,6.2,51.87,lentil
19.4,60.88,19.88,24.91,63.57,6.38,38.9,lentil
20.88,71.31,17.04,25.74,64.47,6.79,51.54,lentil
27.36,65.13,21.27,18.2,69.66,6.22,46.25,lentil
37.87,69.9,18.59,29.52,63.77,6.07,50.24,lentil
20.29,57.69,24.96,18.54,62.58,7.36,49.27,lentil
18.61,55.42,19.8,19.72,62.43,5.93,39.15,lentil
33.97,77.74,19.86,18.17,64.58,7.1,46.38,lentil
27.52,61.74,20.66,24.8,67.6,7.08,52.35,lentil
37.79,75.49,24.17,29.19,62.06,6.35,43.64,lentil
18.67,79.98,23.01,25.99,67.09,6.1,54.33,lentil
31.15,60.29,19.51,27.87,60.21,6.12,44.04,lentil
20.82,61.63,22.19,18.16,64.19,6.95,37.86,lentil
18.92,71.57,20.86,24.5,67.76,6.86,42.79,lentil
32.09,79.14,19.92,23.51,63.39,7.07,54.03,lentil
29.84,77.9,16.92,23.99,65.64,7.31,41.39,lentil
33.87,67.57,19.64,18.87,62.05,6.94,52.36,lentil
22.74,74.88,17.46,26.21,67.42,6.13,52.63,lentil
26.2,58.39,24.15,24.04,60.52,6.27,42.0,lentil
25.14,79.44,18.35,27.18,68.53,7.16,36.67,lentil
39.6,79.11,24.52,23.82,61.98,6.21,49.49,lentil
22.31,59.09,20.33,19.79,68.74,6.01,41.23,lentil
34.57,23.68,37.01,21.73,90.71,5.6,102.76,pomegranate
26.07,27.65,35.8,22.17,92.45,5.69,102.39,pomegranate
27.13,14.07,39.74,20.56,88.79,5.87,100.45,pomegranate
34.45,27.47,35.1,23.65,88.03,6.29,107.72,pomegranate
24.56,11.2,35.85,21.66,89.59,6.24,103.15,pomegranate
26.08,27.77,43.08,18.82,93.18,6.86,100.63,pomegranate
24.4,16.58,42.71,18.9,94.3,6.76,102.77,pomegranate
24.18,16.29,44.15,21.76,90.45,6.22,109.62,pomegranate
28.15,20.24,43.55,24.56,91.61,6.07,110.22,pomegranate
35.22,28.81,41.83,20.16,94.03,6.04,105.8,pomegranate
24.04,10.96,35.52,24.09,85.99,6.82,104.99,pomegranate
28.11,17.04,42.83,23.35,87.32,5.59,111.73,pomegranate
31.77,27.13,43.46,19.73,92.09,5.52,102.41,pomegranate
21.74,17.92,42.99,18.25,93.24,6.85,102.58,pomegranate
21.94,13.98,40.08,18.71,93.57,6.31,103.5,pomegranate
38.34,18.5,37.33,23.1,89.15,5.72,102.07,pomegranate
33.09,17.71,43.45,19.4,85.89,5.9,104.55,pomegranate
29.43,28.31,42.27,20.6,89.38,7.09,110.93,pomegranate
31.19,25.24,44.81,21.51,87.31,6.96,107.38,pomegranate
15.73,20.1,36.56,23.08,87.91,6.71,104.94,pomegranate
30.45,29.77,37.26,18.79,92.72,6.32,111.21,pomegranate
27.74,19.31,37.12,20.84,85.76,6.38,100.58,pomegranate
28.64,11.16,42.93,21.4,93.28,7.16,102.52,pomegranate
23.99,15.25,36.87,21.79,89.28,7.14,106.79,pomegranate
17.04,18.72,35.67,23.73,90.96,5.87,107.39,pomegranate
19.83,13.14,44.99,19.2,85.9,6.88,100.47,pomegranate
38.77,28.95,35.25,23.65,88.37,5.84,104.84,pomegranate
25.22,25.34,43.35,22.85,85.9,5.86,107.79,pomegranate
26.67,15.37,38.65,21.89,94.62,6.65,108.38,pomegranate
16.32,21.82,43.42,22.9,93.07,6.19,107.66,pomegranate
15.94,24.43,40.55,20.88,89.6,7.08,103.85,pomegranate
32.93,28.83,44.02,18.97,87.24,5.65,101.12,pomegranate
28.45,27.63,44.26,22.66,94.33,6.37,105.13,pomegranate
27.72,20.3,35.09,21.67,88.45,7.06,101.55,pomegranate
21.08,25.49,35.75,22.48,86.61,7.04,111.37,pomegranate
33.62,21.24,37.5,20.37,90.63,5.77,105.7,pomegranate
19.21,21.05,41.69,24.35,94.44,6.12,103.81,pomegranate
19.75,12.29,43.88,22.11,85.04,6.55,109.2,pomegranate
26.52,12.52,39.6,18.6,87.38,5.77,105.98,pomegranate
22.16,20.59,41.07,21.15,94.38,7.15,103.72,pomegranate
21.19,15.38,36.88,23.29,86.71,7.06,109.74,pomegranate
31.13,10.42,43.05,23.56,86.13,5.78,110.41,pomegranate
31.27,24.46,44.67,21.46,90.7,5.71,108.08,pomegranate
35.61,10.65,37.69,24.26,93.62,5.65,100.56,pomegranate
25.44,21.91,39.95,19.87,89.77,7.05,106.8,pomegranate
16.83,20.78,35.86,20.87,94.95,5.83,109.16,pomegranate
21.84,29.38,40.59,24.29,91.79,6.21,101.64,pomegranate
39.5,19.68,40.03,24.27,85.74,6.26,102.74,pomegranate
29.91,11.27,36.44,22.8,94.93,6.52,110.59,pomegranate
32.74,21.03,39.42,24.01,89.08,5.62,100.24,pomegranate
15.18,26.82,38.34,18.62,87.87,5.89,109.03,pomegranate
27.96,29.94,40.22,24.05,90.58,7.08,105.69,pomegranate
15.94,18.61,40.86,20.24,88.04,7.04,105.36,pomegranate
29.23,16.41,35.08,19.25,85.86,6.83,100.09,pomegranate
38.02,28.13,42.61,19.68,85.01,5.53,109.83,pomegranate
39.21,13.82,42.13,20.93,89.5,6.06,104.32,pomegranate
28.51,22.31,38.66,19.76,93.37,6.57,106.49,pomegranate
26.46,18.11,35.53,20.24,90.72,5.97,108.13,pomegranate
38.63,10.82,42.55,18.94,94.99,7.05,108.43,pomegranate
31.84,16.95,44.55,20.07,87.87,6.58,111.47,pomegranate
16.62,15.3,37.4,22.01,87.8,5.62,106.38,pomegranate
26.64,23.72,38.24,21.09,86.6,7.05,104.8,pomegranate
21.01,28.98,36.84,20.43,86.64,7.13,111.44,pomegranate
26.75,15.36,40.77,23.23,87.85,5.63,107.71,pomegranate
26.39,26.23,36.55,24.25,92.93,6.41,103.58,pomegranate
29.55,11.11,38.56,23.3,94.06,6.02,101.52,pomegranate
23.92,20.76,41.97,20.32,94.75,6.17,110.11,pomegranate
19.11,11.41,40.6,23.21,87.32,5.81,104.35,pomegranate
27.59,28.68,38.86,19.06,93.81,6.48,107.93,pomegranate
35.76,25.33,39.2,18.91,88.28,7.13,105.65,pomegranate
31.6,23.16,40.62,20.42,86.13,6.36,102.39,pomegranate
23.46,26.48,35.06,23.65,93.7,5.64,107.22,pomegranate
38.39,22.95,35.79,19.72,91.36,6.55,100.73,pomegranate
37.81,29.38,43.81,18.44,86.65,6.08,104.96,pomegranate
20.23,24.28,35.78,18.92,89.3,6.96,106.56,pomegranate
15.99,28.49,42.07,24.01,87.87,6.24,105.23,pomegranate
33.53,20.34,44.2,22.44,92.37,5.83,108.98,pomegranate
35.69,12.34,37.71,19.77,89.53,5.82,109.94,pomegranate
39.2,20.56,38.7,21.89,94.89,6.81,109.25,pomegranate
37.25,12.54,40.69,21.69,85.55,5.95,100.47,pomegranate
30.01,21.85,43.82,22.59,88.55,6.8,102.33,pomegranate
28.25,19.65,44.42,19.63,89.82,5.85,106.44,pomegranate
15.7,22.45,42.4,24.05,90.03,6.05,111.22,pomegranate
21.17,10.2,35.87,20.17,88.16,6.29,110.02,pomegranate
26.49,13.9,41.69,22.86,92.29,7.1,110.11,pomegranate
30.71,19.83,39.1,18.11,93.75,7.08,103.64,pomegranate
28.93,29.01,39.71,20.61,94.39,5.85,105.15,pomegranate
33.57,17.67,35.49,20.46,93.05,6.11,105.65,pomegranate
21.99,18.49,36.91,21.8,93.51,5.75,101.89,pomegranate
29.12,24.29,42.91,18.51,90.51,6.37,100.37,pomegranate
17.2,22.08,39.54,23.53,93.26,6.28,111.36,pomegranate
25.34,15.98,38.02,19.52,88.04,7.03,102.89,pomegranate
33.75,18.22,38.84,22.74,88.98,7.08,102.88,pomegranate
32.34,14.35,43.54,23.62,88.17,6.15,101.0,pomegranate
39.77,29.32,42.49,21.93,89.67,6.34,111.14,pomegranate
21.95,12.61,37.72,23.19,87.86,7.02,106.96,pomegranate
27.45,17.44,36.18,22.63,94.62,6.87,108.0,pomegranate
23.24,10.52,37.52,20.49,88.13,5.51,110.94,pomegranate
26.02,14.44,44.21,23.66,85.98,6.04,104.15,pomegranate
36.42,25.61,40.82,20.06,90.27,6.22,107.46,pomegranate
81.55,70.23,48.69,25.65,75.66,6.04,110.04,banana
87.47,75.03,46.36,27.15,81.91,6.33,95.3,banana
113.25,93.98,50.18,26.37,80.72,5.63,107.41,banana
110.67,85.34,46.13,29.44,79.05,5.63,117.12,banana
94.03,76.54,54.34,25.2,78.64,6.06,99.61,banana
95.07,71.67,46.84,29.57,77.17,6.45,110.11,banana
101.34,70.7,47.53,29.16,81.7,5.91,95.64,banana
80.01,76.12,49.07,26.49,84.71,5.83,108.74,banana
89.65,92.04,48.83,28.95,76.76,6.11,100.09,banana
88.33,80.4,52.95,25.16,80.97,6.43,96.34,banana
90.02,88.01,49.56,29.83,79.24,6.34,99.4,banana
112.24,92.96,46.71,27.63,79.47,6.5,95.37,banana
91.19,80.2,47.67,26.52,77.54,5.52,117.06,banana
87.66,74.78,50.09,26.81,83.25,5.61,101.92,banana
100.17,82.93,46.47,25.33,79.85,6.11,97.36,banana
114.63,92.7,51.12,29.95,80.43,6.32,103.45,banana
89.65,90.11,50.66,25.2,78.05,5.79,99.62,banana
83.14,71.65,52.15,28.27,76.82,5.74,112.33,banana
94.26,87.31,54.38,27.21,75.86,6.29,119.14,banana
109.91,84.3,54.12,29.74,82.14,5.56,103.14,banana
102.03,92.69,54.46,26.23,76.96,5.87,115.83,banana
112.67,73.06,47.45,27.66,81.9,6.01,106.98,banana
118.38,83.35,46.32,27.41,78.9,6.06,94.72,banana
111.71,91.99,48.02,28.51,79.16,6.23,110.72,banana
104.15,80.25,53.95,25.34,79.69,5.85,105.4,banana
99.73,82.05,54.72,25.97,78.68,6.11,109.52,banana
81.6,71.76,53.59,26.07,76.01,6.09,116.69,banana
119.37,76.95,46.1,28.69,78.1,6.05,103.21,banana
95.34,78.11,54.47,25.95,81.64,6.14,117.04,banana
86.09,93.63,49.23,27.87,81.66,5.76,112.52,banana
106.67,77.07,45.09,26.08,77.86,5.58,104.66,banana
91.37,81.52,49.42,29.31,79.6,5.62,108.1,banana
103.43,86.78,45.46,29.71,76.93,5.72,99.77,banana
103.47,74.05,50.44,27.59,77.1,6.0,119.51,banana
97.83,82.16,48.39,26.76,75.23,6.34,110.02,banana
113.44,88.46,49.73,26.17,83.97,6.2,91.32,banana
90.6,91.67,51.13,25.25,77.11,6.29,99.8,banana
97.95,85.66,53.69,26.34,77.28,5.85,108.7,banana
101.51,86.73,51.62,28.27,77.8,5.9,91.69,banana
106.54,73.16,49.34,27.67,76.27,5.89,90.72,banana
111.36,93.64,53.19,29.72,81.39,5.69,103.5,banana
95.79,73.31,54.06,26.98,75.75,5.56,99.98,banana
105.84,89.37,46.2,28.47,76.34,6.09,103.15,banana
86.02,76.62,50.32,27.45,81.45,6.49,97.88,banana
117.31,93.34,47.85,27.56,78.4,5.67,94.94,banana
95.32,88.0,45.47,26.34,82.08,5.55,110.67,banana
109.18,88.85,51.69,27.27,80.57,6.28,105.44,banana
80.81,75.48,53.63,27.35,77.56,5.75,96.0,banana
88.21,81.08,46.63,28.53,81.51,6.33,99.59,banana
99.48,85.45,53.12,29.7,76.16,6.2,107.75,banana
115.13,89.25,53.53,26.65,80.36,6.45,92.17,banana
101.09,72.6,54.14,25.21,79.37,5.91,94.42,banana
117.19,94.06,47.65,27.48,77.68,6.16,92.2,banana
99.35,92.26,54.04,27.72,81.04,5.96,114.37,banana
99.62,76.76,48.21,25.84,83.71,6.13,112.57,banana
84.79,90.57,50.52,28.8,84.99,5.95,112.6,banana
112.11,82.96,45.51,29.92,81.08,5.69,111.49,banana
89.88,81.55,45.44,29.73,79.05,6.01,110.08,banana
115.98,77.86,52.2,25.99,77.25,6.03,104.31,banana
116.43,84.52,49.44,29.38,77.57,6.31,109.27,banana
117.73,88.25,47.56,28.52,79.79,6.24,91.15,banana
100.81,80.27,46.9,27.27,78.67,6.16,108.64,banana
107.08,85.73,51.7,27.7,84.14,5.61,113.34,banana
111.14,87.48,45.0,29.25,78.68,6.22,105.01,banana
85.24,87.78,53.06,27.4,78.73,6.0,100.73,banana
104.04,71.3,45.79,26.87,78.84,6.39,98.32,banana
81.37,91.49,46.91,27.47,83.37,6.42,109.28,banana
99.9,81.46,48.86,27.9,81.51,5.56,110.78,banana
86.19,76.56,49.85,25.95,81.14,6.32,116.13,banana
87.32,76.04,48.55,29.5,78.34,5.54,100.27,banana
94.6,82.08,48.21,28.37,83.18,5.87,113.09,banana
97.3,92.17,54.64,28.17,75.38,6.04,106.84,banana
104.93,79.46,51.42,25.5,83.71,5.65,116.49,banana
82.98,88.74,45.23,28.02,80.13,6.25,105.83,banana
100.15,72.42,49.3,25.6,78.98,5.51,105.53,banana
87.31,81.9,53.75,25.39,79.97,5.67,107.34,banana
102.96,94.79,48.01,27.64,81.67,6.08,112.48,banana
105.5,89.26,45.95,27.01,75.13,6.21,118.94,banana
102.27,75.26,52.58,27.94,83.72,6.42,92.21,banana
109.53,82.54,51.06,25.45,79.47,6.21,91.6,banana
93.42,75.84,50.7,27.15,78.43,6.17,118.13,banana
110.6,80.24,45.54,25.87,76.38,5.89,105.9,banana
97.31,89.5,46.4,29.94,79.39,5.5,108.45,banana
99.37,89.28,51.23,27.81,79.96,5.62,104.47,banana
105.92,75.7,47.08,28.44,79.04,6.03,92.81,banana
80.73,93.06,50.04,26.63,81.79,6.18,113.04,banana
106.16,84.81,50.45,25.47,79.21,5.92,112.42,banana
104.74,79.5,47.84,29.88,84.61,6.23,99.35,banana
92.39,82.55,54.48,26.43,80.99,6.02,99.19,banana
83.43,85.13,53.42,27.12,83.07,5.57,115.14,banana
83.64,84.0,52.22,28.25,76.09,5.69,92.17,banana
116.93,82.16,45.78,25.12,78.97,6.34,116.43,banana
107.57,82.62,46.06,29.05,78.37,6.22,97.7,banana
85.08,74.41,49.93,27.68,80.69,6.39,107.79,banana
94.27,90.32,46.61,26.39,83.61,5.62,118.08,banana
103.7,83.54,54.78,25.31,75.78,6.49,110.34,banana
113.42,73.28,46.59,25.81,75.73,5.71,102.43,banana
81.75,89.15,49.87,29.48,83.5,5.51,110.69,banana
89.47,93.31,48.64,28.43,77.13,6.5,100.32,banana
115.59,93.68,51.39,26.25,81.69,5.78,98.32,banana
39.87,15.95,30.77,33.48,53.16,4.98,98.46,mango
30.03,18.08,27.21,33.19,54.88,5.52,92.11,mango
25.79,39.66,27.69,27.86,48.89,6.84,97.5,mango
14.21,22.88,33.03,35.3,45.47,5.44,91.58,mango
1.97,17.88,25.44,32.12,53.01,6.16,89.48,mango
1.24,17.67,34.92,30.27,51.04,5.14,91.41,mango
22.17,32.99,26.3,33.81,46.99,4.82,91.14,mango
30.48,36.36,32.96,29.32,49.95,4.65,93.05,mango
21.5,21.42,28.95,33.24,52.42,5.26,94.02,mango
33.63,15.52,29.92,27.36,52.7,4.89,95.1,mango
1.34,20.58,33.81,34.55,50.0,4.94,94.72,mango
14.67,16.41,29.13,31.03,48.05,6.4,92.25,mango
9.48,17.58,30.37,32.73,54.74,4.54,89.35,mango
17.89,25.79,25.49,28.99,51.63,5.89,96.26,mango
2.9,20.75,25.02,33.09,49.08,5.45,93.75,mango
38.17,27.9,27.45,33.95,47.8,5.77,92.58,mango
8.93,21.34,31.81,31.26,52.31,5.91,99.4,mango
36.89,38.51,26.21,32.56,47.42,5.28,97.96,mango
17.04,37.65,26.14,31.11,46.72,5.24,99.29,mango
39.42,29.17,29.11,35.05,50.3,6.33,94.94,mango
22.16,23.86,31.48,31.48,47.9,6.68,90.57,mango
37.23,24.53,32.12,34.58,51.29,4.98,97.35,mango
0.21,25.3,26.78,34.21,46.18,4.74,91.47,mango
29.93,33.19,25.8,30.69,51.55,6.74,94.29,mango
36.12,26.29,34.4,29.07,47.83,5.37,89.78,mango
5.59,36.42,27.61,30.65,45.0,5.88,98.9,mango
3.85,38.6,33.53,34.44,46.27,5.4,90.51,mango
16.98,23.4,33.63,29.05,54.34,4.81,99.84,mango
37.35,29.02,32.73,31.72,53.67,5.97,99.37,mango
21.7,17.38,26.69,34.25,47.34,5.81,94.57,mango
21.1,20.01,33.22,30.18,52.78,5.01,97.93,mango
5.65,25.34,32.69,32.78,51.09,5.63,96.43,mango
0.03,20.16,30.97,29.21,54.71,6.49,98.64,mango
32.41,36.91,28.37,27.98,48.74,5.98,94.18,mango
3.5,18.96,27.63,34.15,51.81,4.74,98.43,mango
25.35,26.39,26.22,27.89,45.64,5.87,94.55,mango
36.58,30.14,30.1,29.44,48.96,6.26,100.29,mango
8.35,32.3,30.85,34.7,54.64,6.48,94.84,mango
26.61,24.58,28.59,30.12,50.39,6.07,94.55,mango
3.15,36.73,29.75,35.76,47.88,4.88,98.42,mango
24.15,29.21,28.64,35.82,46.2,6.28,98.86,mango
6.56,25.99,31.41,29.41,52.04,6.19,95.65,mango
29.44,16.68,34.01,27.37,51.45,4.56,91.16,mango
12.05,26.62,26.64,33.35,48.74,5.53,94.61,mango
18.54,35.52,28.81,31.06,54.51,5.33,100.62,mango
23.98,30.36,26.41,27.91,45.22,6.17,98.04,mango
6.85,35.8,31.25,33.37,48.04,5.04,98.73,mango
29.67,27.35,32.29,27.28,54.21,5.98,89.39,mango
12.11,17.96,34.32,34.83,48.21,6.78,94.61,mango
26.49,15.34,27.79,28.25,47.52,6.49,96.76,mango
6.33,22.58,34.5,28.15,50.34,6.8,98.96,mango
27.52,32.45,25.63,28.58,53.24,6.95,89.59,mango
5.13,34.76,31.03,35.64,46.03,4.53,99.23,mango
17.01,22.39,25.57,33.24,54.43,6.06,95.58,mango
9.89,27.39,33.94,34.21,52.95,5.53,91.37,mango
29.94,25.53,30.3,30.58,46.81,6.65,92.81,mango
10.48,25.26,31.69,30.03,52.12,5.13,92.38,mango
35.27,20.78,33.32,29.11,48.85,6.95,95.37,mango
35.67,18.41,26.5,31.33,49.02,6.03,89.62,mango
7.86,19.92,25.39,31.97,52.83,6.48,90.9,mango
24.55,16.38,33.79,32.69,54.63,4.71,98.75,mango
3.51,19.95,28.15,29.31,46.27,4.96,90.59,mango
15.66,15.23,26.29,35.54,49.21,6.4,91.8,mango
28.53,30.68,29.68,28.53,49.81,4.55,94.44,mango
26.38,22.91,30.98,35.69,48.76,6.54,95.21,mango
24.99,39.33,25.31,27.13,48.63,4.53,98.16,mango
11.3,19.84,27.75,31.33,45.52,6.14,94.37,mango
15.12,23.65,25.33,30.0,51.86,5.41,98.48,mango
4.12,23.95,29.2,31.04,49.36,6.03,96.42,mango
28.76,15.21,33.95,32.14,46.95,6.24,90.36,mango
20.16,35.98,34.83,30.92,53.16,5.36,90.88,mango
28.35,15.8,31.37,30.73,53.03,4.77,94.24,mango
9.96,38.5,26.62,33.59,49.86,4.67,93.76,mango
12.98,37.3,34.06,33.17,47.98,5.97,97.92,mango
13.37,28.39,30.16,34.5,51.38,5.8,95.97,mango
1.03,28.59,26.54,29.25,47.88,6.36,93.66,mango
13.64,31.34,34.22,32.49,47.36,5.77,91.05,mango
32.13,24.68,32.57,32.27,52.31,5.56,91.72,mango
35.89,31.18,32.32,30.33,45.4,5.5,95.91,mango
20.73,16.12,32.09,31.37,45.95,4.57,94.08,mango
18.22,16.35,27.0,29.82,45.07,5.34,95.18,mango
1.23,26.43,27.11,28.28,46.53,6.94,91.05,mango
35.17,28.74,31.88,28.92,45.69,6.68,96.95,mango
0.52,37.2,27.2,27.95,54.96,5.32,99.23,mango
37.79,17.62,29.39,33.15,47.89,5.97,92.1,mango
19.57,35.57,32.82,32.95,46.49,6.62,94.9,mango
13.68,20.25,32.84,35.56,47.41,5.6,100.71,mango
36.97,24.85,29.53,33.57,54.36,4.54,93.0,mango
0.98,22.92,32.92,27.47,50.2,4.69,96.14,mango
23.26,25.0,33.39,34.96,48.65,5.78,90.08,mango
21.96,18.76,31.55,34.76,53.73,6.92,96.27,mango
8.77,27.59,27.28,30.99,48.95,6.23,90.08,mango
17.16,35.04,27.74,32.27,48.35,4.68,100.51,mango
26.09,26.04,28.15,35.78,47.07,4.97,97.59,mango
29.09,27.27,26.17,31.79,48.78,6.43,98.46,mango
0.03,36.22,27.73,35.15,48.17,6.6,97.45,mango
37.47,32.65,27.1,27.75,51.77,6.04,96.08,mango
6.58,27.26,29.55,28.72,47.9,6.11,94.4,mango
9.34,21.44,34.08,30.97,50.77,4.57,99.3,mango
10.54,37.12,26.04,32.26,45.66,6.57,100.48,mango
29.98,130.61,199.18,37.69,87.64,5.87,74.14,grapes
38.63,127.73,202.14,34.51,82.58,6.41,70.25,grapes
31.67,127.02,203.61,18.34,84.81,6.28,72.25,grapes
30.77,144.31,196.55,15.59,89.92,6.26,69.36,grapes
29.09,123.83,199.52,16.4,86.87,6.11,71.3,grapes
24.19,138.33,199.08,24.14,88.41,6.13,68.41,grapes
20.07,120.01,201.87,31.81,84.15,6.14,68.01,grapes
24.83,134.9,197.5,24.1,87.68,6.13,70.78,grapes
30.19,142.9,201.4,10.17,80.41,6.05,69.98,grapes
27.6,127.2,203.77,31.15,81.23,6.49,70.8,grapes
28.97,124.64,199.18,33.79,82.03,6.23,67.87,grapes
39.61,136.29,204.11,17.26,84.02,6.28,68.67,grapes
27.01,137.82,204.93,29.25,88.46,6.37,65.84,grapes
29.04,137.2,196.06,21.65,83.46,5.72,65.52,grapes
22.67,127.98,197.33,36.45,86.55,5.58,67.53,grapes
20.96,126.31,204.5,35.05,87.09,5.98,65.74,grapes
35.51,143.9,204.58,24.81,85.86,6.01,66.04,grapes
31.41,143.08,195.98,30.13,83.57,6.33,73.13,grapes
35.21,131.43,195.15,36.27,85.77,5.94,65.39,grapes
23.0,141.15,196.61,23.86,83.42,6.07,71.59,grapes
31.44,131.31,204.96,18.02,80.84,6.03,67.73,grapes
25.07,130.61,196.8,32.12,89.93,5.54,73.72,grapes
24.56,123.92,200.03,15.04,81.27,6.12,69.85,grapes
20.23,130.66,203.48,20.43,80.72,6.33,68.06,grapes
22.61,133.44,195.2,35.7,88.79,5.66,70.18,grapes
26.19,120.56,201.04,31.18,83.02,6.09,68.82,grapes
22.34,131.1,197.77,20.92,86.5,6.09,70.64,grapes
39.72,139.53,203.62,14.87,83.29,5.66,66.15,grapes
26.17,137.0,197.83,19.39,83.91,5.62,74.97,grapes
22.61,135.88,201.87,17.09,82.62,6.48,69.26,grapes
23.98,142.74,201.74,13.63,83.43,5.89,68.48,grapes
31.75,120.45,197.21,31.79,84.11,5.73,72.1,grapes
21.28,133.93,195.35,16.07,87.2,5.67,68.64,grapes
37.25,139.68,199.09,22.53,85.12,6.17,73.33,grapes
39.23,133.53,197.89,20.35,89.44,6.11,69.54,grapes
24.93,128.1,203.09,39.43,80.42,6.14,72.2,grapes
29.0,123.41,203.0,20.51,85.03,5.59,66.07,grapes
20.44,142.19,199.57,10.56,85.84,6.39,73.46,grapes
32.81,131.77,201.07,10.87,89.2,5.89,72.36,grapes
28.28,141.95,201.04,26.9,80.49,5.81,67.12,grapes
25.4,134.65,203.27,27.18,85.73,5.96,66.45,grapes
24.14,136.85,199.25,21.4,88.54,5.89,68.16,grapes
33.08,140.11,197.75,21.82,82.42,6.36,74.76,grapes
28.32,136.48,197.65,9.73,88.76,6.43,67.57,grapes
23.59,129.95,200.36,24.53,80.19,5.8,69.56,grapes
33.78,132.84,199.49,24.15,87.32,6.36,65.3,grapes
31.3,140.08,199.4,12.79,89.33,6.28,68.97,grapes
37.17,129.34,195.91,11.32,86.57,6.43,70.71,grapes
22.35,129.7,202.19,11.95,84.39,5.75,74.53,grapes
35.71,122.39,197.14,11.23,80.45,6.08,70.17,grapes
33.47,142.86,196.97,27.51,89.2,5.77,73.19,grapes
22.3,122.28,199.13,14.29,84.7,6.32,70.47,grapes
33.9,136.21,197.28,16.05,80.29,5.51,65.41,grapes
28.83,130.33,200.84,13.55,86.9,6.06,68.15,grapes
38.9,130.14,198.71,38.65,84.82,5.84,70.76,grapes
22.83,136.99,199.49,35.35,81.24,5.82,74.51,grapes
32.86,121.68,200.37,15.38,82.14,6.14,73.59,grapes
27.64,134.84,197.04,18.48,80.64,6.35,67.28,grapes
39.14,139.3,196.56,14.72,85.74,6.11,67.2,grapes
26.6,140.71,203.8,23.74,86.22,6.35,67.01,grapes
39.24,124.26,199.34,8.63,85.06,5.76,74.22,grapes
38.03,142.44,199.12,29.48,88.17,6.02,73.53,grapes
25.41,136.4,195.36,24.74,88.61,5.95,72.75,grapes
36.07,142.05,199.98,36.76,86.16,5.51,68.93,grapes
39.91,132.13,200.54,13.26,80.13,6.06,70.04,grapes
25.05,133.55,200.59,33.73,86.95,6.16,69.64,grapes
28.74,142.98,202.07,33.34,84.18,6.09,67.53,grapes
30.4,142.5,196.77,12.07,85.66,6.24,70.05,grapes
25.9,131.2,197.52,20.75,86.49,6.07,65.3,grapes
20.31,126.86,203.11,13.44,83.5,5.57,66.32,grapes
24.4,129.83,204.47,16.15,89.17,5.62,73.87,grapes
25.64,129.69,196.36,16.42,81.34,6.1,72.52,grapes
28.87,127.17,199.98,25.8,86.72,5.77,69.23,grapes
23.42,126.71,197.14,21.17,80.04,5.58,70.17,grapes
37.47,141.53,195.6,38.33,89.25,5.93,68.7,grapes
34.1,121.75,198.26,12.04,81.13,6.05,72.41,grapes
21.7,136.94,196.44,39.16,80.95,5.83,72.84,grapes
